volunteer_id,data_type,filename,frame_index,time,check_level,check_name,status,reason
002,face_rgb,002_face_rgb.mp4,174,5.800,frame,check_face_detected,PASS,frame=174 face detected
002,face_rgb,002_face_rgb.mp4,174,5.800,frame,check_head_fully,PASS,frame=174 Head is fully visible
002,face_rgb,002_face_rgb.mp4,174,5.800,frame,check_face_size,PASS,frame=174 face=561x696 >= 180x180
002,face_rgb,002_face_rgb.mp4,174,5.800,frame,check_eyes_open,PASS,"frame=174 eyes open (blinkL=0.15, blinkR=0.13 < 0.5)"
002,face_rgb,002_face_rgb.mp4,174,5.800,frame,check_face_blur,PASS,frame=174 blur variance=247.3 >= 90
002,face_rgb,002_face_rgb.mp4,174,5.800,frame,check_brightness,PASS,frame=174 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,180,6.000,frame,check_face_detected,PASS,frame=180 face detected
002,face_rgb,002_face_rgb.mp4,180,6.000,frame,check_head_fully,PASS,frame=180 Head is fully visible
002,face_rgb,002_face_rgb.mp4,180,6.000,frame,check_face_size,PASS,frame=180 face=561x696 >= 180x180
002,face_rgb,002_face_rgb.mp4,180,6.000,frame,check_eyes_open,PASS,"frame=180 eyes open (blinkL=0.15, blinkR=0.13 < 0.5)"
002,face_rgb,002_face_rgb.mp4,180,6.000,frame,check_face_blur,PASS,frame=180 blur variance=256.6 >= 90
002,face_rgb,002_face_rgb.mp4,180,6.000,frame,check_brightness,PASS,frame=180 brightness normal; 35 <= 157 <= 200
002,face_rgb,002_face_rgb.mp4,186,6.200,frame,check_face_detected,PASS,frame=186 face detected
002,face_rgb,002_face_rgb.mp4,186,6.200,frame,check_head_fully,PASS,frame=186 Head is fully visible
002,face_rgb,002_face_rgb.mp4,186,6.200,frame,check_face_size,PASS,frame=186 face=560x688 >= 180x180
002,face_rgb,002_face_rgb.mp4,186,6.200,frame,check_eyes_open,PASS,"frame=186 eyes open (blinkL=0.15, blinkR=0.13 < 0.5)"
002,face_rgb,002_face_rgb.mp4,186,6.200,frame,check_face_blur,PASS,frame=186 blur variance=248.8 >= 90
002,face_rgb,002_face_rgb.mp4,186,6.200,frame,check_brightness,PASS,frame=186 brightness normal; 35 <= 158 <= 200
002,face_rgb,002_face_rgb.mp4,192,6.400,frame,check_face_detected,PASS,frame=192 face detected
002,face_rgb,002_face_rgb.mp4,192,6.400,frame,check_head_fully,PASS,frame=192 Head is fully visible
002,face_rgb,002_face_rgb.mp4,192,6.400,frame,check_face_size,PASS,frame=192 face=561x697 >= 180x180
002,face_rgb,002_face_rgb.mp4,192,6.400,frame,check_eyes_open,PASS,"frame=192 eyes open (blinkL=0.14, blinkR=0.14 < 0.5)"
002,face_rgb,002_face_rgb.mp4,192,6.400,frame,check_face_blur,PASS,frame=192 blur variance=235.6 >= 90
