volunteer_id,data_type,file_name,frame_index,time,label_width,label_height,yaw,pitch,roll
002,face_rgb,002_face_rgb.mp4,1350,45.000,543,690,2.7,-2.0,1.9
002,face_rgb,002_face_rgb.mp4,1356,45.200,545,686,2.4,-2.1,2.0
002,face_rgb,002_face_rgb.mp4,1362,45.400,545,688,2.5,-1.8,2.0
002,face_rgb,002_face_rgb.mp4,1368,45.600,546,690,2.3,-1.7,2.0
002,face_rgb,002_face_rgb.mp4,1374,45.800,545,690,2.4,-2.0,2.0
002,face_rgb,002_face_rgb.mp4,1380,46.000,546,679,1.1,-3.3,1.5
002,face_rgb,002_face_rgb.mp4,1386,46.200,549,680,0.5,-3.1,1.7
002,face_rgb,002_face_rgb.mp4,1392,46.400,545,681,1.9,-2.6,0.9
002,face_rgb,002_face_rgb.mp4,1398,46.600,543,669,0.9,-1.9,0.4
002,face_rgb,002_face_rgb.mp4,1404,46.800,544,676,0.6,-1.5,0.8
002,face_rgb,002_face_rgb.mp4,1410,47.000,546,681,0.4,-1.8,1.4
002,face_rgb,002_face_rgb.mp4,1416,47.200,547,686,1.0,-2.1,1.3
002,face_rgb,002_face_rgb.mp4,1422,47.400,552,688,1.4,-1.9,1.5
002,face_rgb,002_face_rgb.mp4,1428,47.600,547,689,1.2,-2.4,1.6
002,face_rgb,002_face_rgb.mp4,1432,47.733,546,690,1.1,-2.1,1.6
